Név,Dátum,Utolsó ár,Forgalom (db),Forgalom (HUF érték),Forgalom (EUR érték),Kötések száma,Nyitó ár,Minimum ár,Maximum ár,Deviza,Átlag ár,Kapitalizáció
4IG,2007.01.02.,,,,,,,,,HUF,,3.731E9
4IG,2007.01.03.,,,,,,,,,HUF,,3.731E9
4IG,2007.01.04.,51.0,44750.0,2282280.0,9054.870065463201,3,51.02,51.0,51.02,HUF,51.00067039106145,3.65925E9
4IG,2007.01.05.,,,,,,,,,HUF,,3.65925E9
4IG,2007.01.08.,,,,,,,,,HUF,,3.65925E9
4IG,2007.01.09.,54.0,28000.0,1494200.0,5898.235503098725,6,51.0,51.0,54.0,HUF,53.364285714285714,3.8745E9
4IG,2007.01.10.,53.9,2050.0,110495.0,433.5347432024169,3,53.9,53.9,53.9,HUF,53.9,3.867325E9
4IG,2007.01.11.,,,,,,,,,HUF,,3.867325E9
4IG,2007.01.12.,,,,,,,,,HUF,,3.867325E9
4IG,2007.01.15.,51.0,2350.0,121250.0,480.97901543099687,3,52.0,51.0,52.0,HUF,51.59574468085107,3.65925E9
4IG,2007.01.16.,,,,,,,,,HUF,,3.65925E9
4IG,2007.01.17.,51.0,100.0,5100.0,20.064521205444958,1,51.0,51.0,51.0,HUF,51.0,3.65925E9
4IG,2007.01.18.,,,,,,,,,HUF,,3.65925E9
4IG,2007.01.19.,51.0,100.0,5200.0,20.66936958422768,2,53.0,51.0,53.0,HUF,52.0,3.65925E9
4IG,2007.01.22.,,,,,,,,,HUF,,3.65925E9
4IG,2007.01.23.,51.0,60000.0,3060000.0,12096.296003478674,2,51.0,51.0,51.0,HUF,51.0,3.65925E9
4IG,2007.01.24.,52.0,70000.0,3640000.0,14357.275273143217,1,52.0,52.0,52.0,HUF,52.0,3.731E9
4IG,2007.01.25.,,,,,,,,,HUF,,3.731E9
4IG,2007.01.26.,,,,,,,,,HUF,,3.731E9
4IG,2007.01.29.,,,,,,,,,HUF,,3.731E9
4IG,2007.01.30.,,,,,,,,,HUF,,3.731E9
4IG,2007.01.31.,,,,,,,,,HUF,,3.731E9
4IG,2007.02.01.,,,,,,,,,HUF,,3.731E9
4IG,2007.02.02.,,,,,,,,,HUF,,3.731E9
4IG,2007.02.05.,52.8,105000.0,5464000.0,21442.58692410329,2,52.0,52.0,52.800000000000004,HUF,52.03809523809524,3.7884E9
4IG,2007.02.06.,52.1,50950.0,2655350.0,10451.253591529894,2,53.0,52.1,53.0,HUF,52.11678115799804,3.738175E9
4IG,2007.02.07.,,,,,,,,,HUF,,3.738175E9
4IG,2007.02.08.,53.0,50000.0,2614000.0,10313.671335569146,3,52.2,52.2,53.0,HUF,52.28,3.80275E9
4IG,2007.02.09.,,,,,,,,,HUF,,3.80275E9
4IG,2007.02.12.,53.0,11050.0,575850.0,2269.5384857919835,7,51.4,50.2,53.0,HUF,52.1131221719457,3.80275E9
4IG,2007.02.13.,,,,,,,,,HUF,,3.80275E9
4IG,2007.02.14.,,,,,,,,,HUF,,3.80275E9
4IG,2007.02.15.,,,,,,,,,HUF,,3.80275E9
4IG,2007.02.16.,52.0,150000.0,7800000.0,30878.859857482184,1,52.0,52.0,52.0,HUF,52.0,3.731E9
4IG,2007.02.19.,51.9,25000.0,1297500.0,5150.035722791141,1,51.9,51.9,51.9,HUF,51.9,3.723825E9
4IG,2007.02.20.,,,,,,,,,HUF,,3.723825E9
4IG,2007.02.21.,,,,,,,,,HUF,,3.723825E9
4IG,2007.02.22.,,,,,,,,,HUF,,3.723825E9
4IG,2007.02.23.,,,,,,,,,HUF,,3.723825E9
4IG,2007.02.26.,,,,,,,,,HUF,,3.723825E9
4IG,2007.02.27.,50.0,5000.0,250910.0,987.6791056526531,3,50.800000000000004,50.0,50.800000000000004,HUF,50.182,3.5875E9
4IG,2007.02.28.,,,,,,,,,HUF,,3.5875E9
4IG,2007.03.01.,,,,,,,,,HUF,,3.5875E9
4IG,2007.03.02.,,,,,,,,,HUF,,3.5875E9
4IG,2007.03.05.,49.0,3500.0,173680.0,678.3050185510642,4,50.0,49.0,50.0,HUF,49.62285714285715,3.51575E9
4IG,2007.03.06.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.07.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.08.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.09.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.12.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.13.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.14.,49.0,100.0,5010.0,19.900695134061568,2,51.2,49.0,51.2,HUF,50.1,3.51575E9
4IG,2007.03.19.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.20.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.21.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.22.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.23.,,,,,,,,,HUF,,3.51575E9
4IG,2007.03.26.,50.0,10600.0,530000.0,2148.445417325388,2,50.0,50.0,50.0,HUF,50.0,3.5875E9
4IG,2007.03.27.,50.0,100.0,5000.0,20.133687686236613,1,50.0,50.0,50.0,HUF,50.0,3.5875E9
4IG,2007.03.28.,,,,,,,,,HUF,,3.5875E9
4IG,2007.03.29.,,,,,,,,,HUF,,3.5875E9
4IG,2007.03.30.,48.0,3600.0,173320.0,699.3503611346487,3,49.0,48.0,49.0,HUF,48.144444444444446,3.444E9
4IG,2007.04.02.,,,,,,,,,HUF,,3.444E9
4IG,2007.04.03.,49.98,37700.0,1813175.0,7333.070452155626,5,48.02,48.0,49.980000000000004,HUF,48.0948275862069,3.586065E9
4IG,2007.04.04.,,,,,,,,,HUF,,3.586065E9
4IG,2007.04.05.,,,,,,,,,HUF,,3.586065E9
4IG,2007.04.06.,,,,,,,,,HUF,,3.586065E9
4IG,2007.04.10.,,,,,,,,,HUF,,3.586065E9
4IG,2007.04.11.,,,,,,,,,HUF,,3.586065E9
4IG,2007.04.12.,50.0,5001050.0,2.500525E8,1018585.2784227463,5,50.0,50.0,50.0,HUF,50.0,3.5875E9
4IG,2007.04.13.,,,,,,,,,HUF,,3.5875E9
4IG,2007.04.16.,,,,,,,,,HUF,,3.5875E9
4IG,2007.04.17.,,,,,,,,,HUF,,3.5875E9
4IG,2007.04.18.,,,,,,,,,HUF,,3.5875E9
4IG,2007.04.19.,,,,,,,,,HUF,,3.5875E9
4IG,2007.04.20.,50.0,2000.0,100000.0,407.11639457720963,1,50.0,50.0,50.0,HUF,50.0,3.5875E9
4IG,2007.04.23.,50.0,3500.0,175000.0,714.0525542679941,1,50.0,50.0,50.0,HUF,50.0,3.5875E9
4IG,2007.04.24.,,,,,,,,,HUF,,3.5875E9
4IG,2007.04.25.,49.0,2000.0,98000.0,398.29302987197724,1,49.0,49.0,49.0,HUF,49.0,3.51575E9
4IG,2007.04.26.,,,,,,,,,HUF,,3.51575E9
4IG,2007.04.27.,,,,,,,,,HUF,,3.51575E9
4IG,2007.05.02.,,,,,,,,,HUF,,3.51575E9
4IG,2007.05.03.,,,,,,,,,HUF,,3.51575E9
4IG,2007.05.04.,50.0,1500.0,75000.0,304.22260982436217,1,50.0,50.0,50.0,HUF,50.0,3.5875E9
4IG,2007.05.07.,,,,,,,,,HUF,,3.5875E9
4IG,2007.05.08.,,,,,,,,,HUF,,3.5875E9
4IG,2007.05.09.,,,,,,,,,HUF,,3.5875E9
4IG,2007.05.10.,,,,,,,,,HUF,,3.5875E9
4IG,2007.05.11.,,,,,,,,,HUF,,3.5875E9
4IG,2007.05.14.,49.0,5000.0,245000.0,990.1390236016812,1,49.0,49.0,49.0,HUF,49.0,3.51575E9
4IG,2007.05.15.,,,,,,,,,HUF,,3.51575E9
4IG,2007.05.16.,,,,,,,,,HUF,,3.51575E9
4IG,2007.05.17.,,,,,,,,,HUF,,3.51575E9
4IG,2007.05.18.,48.4,200.0,9840.0,39.24540342200774,2,50.0,48.4,50.0,HUF,49.2,3.4727E9
4IG,2007.05.21.,,,,,,,,,HUF,,3.4727E9
4IG,2007.05.22.,49.0,600.0,29400.0,118.6201331450474,1,49.0,49.0,49.0,HUF,49.0,3.51575E9
