Név,Dátum,Utolsó ár,Forgalom (db),Forgalom (HUF érték),Forgalom (EUR érték),Kötések száma,Nyitó ár,Minimum ár,Maximum ár,Deviza,Átlag ár,Kapitalizáció
AAA,2012.01.02.,,,,,,,,,HUF,,1.287399625E10
AAA,2012.01.03.,,,,,,,,,HUF,,1.287399625E10
AAA,2012.01.04.,208.0,4000.0,815800.0,2553.764282360307,8,203.0,202.0,208.0,HUF,203.95,1.4093638E10
AAA,2012.01.05.,,,,,,,,,HUF,,1.4093638E10
AAA,2012.01.06.,205.0,1200.0,246000.0,777.9394092720257,2,205.0,205.0,205.0,HUF,205.0,1.3890364375E10
AAA,2012.01.09.,206.0,10200.0,2100000.0,6688.111086340329,4,200.0,200.0,206.0,HUF,205.88235294117646,1.395812225E10
AAA,2012.01.10.,207.0,2767.0,572769.0,1823.5243553008595,4,207.0,207.0,207.0,HUF,207.0,1.4025880125E10
AAA,2012.01.11.,,,,,,,,,HUF,,1.4025880125E10
AAA,2012.01.12.,205.0,2783.0,570515.0,1839.1843971631206,3,205.0,205.0,205.0,HUF,205.0,1.3890364375E10
AAA,2012.01.13.,,,,,,,,,HUF,,1.3890364375E10
AAA,2012.01.16.,200.0,750.0,150000.0,483.5122328594913,1,200.0,200.0,200.0,HUF,200.0,1.3551575E10
AAA,2012.01.17.,,,,,,,,,HUF,,1.3551575E10
AAA,2012.01.18.,200.0,250.0,50000.0,163.12149288790292,1,200.0,200.0,200.0,HUF,200.0,1.3551575E10
AAA,2012.01.19.,196.0,550.0,108800.0,359.38429014996365,4,200.0,196.0,200.0,HUF,197.8181818181818,1.32805435E10
AAA,2012.01.20.,200.0,567.0,111823.0,366.5967281906698,5,196.0,195.0,200.0,HUF,197.21869488536154,1.3551575E10
AAA,2012.01.23.,200.0,500.0,100000.0,329.36991535193175,1,200.0,200.0,200.0,HUF,200.0,1.3551575E10
AAA,2012.01.24.,,,,,,,,,HUF,,1.3551575E10
AAA,2012.01.25.,205.0,2538.0,512959.0,1717.880107166778,6,186.0,186.0,205.0,HUF,202.11150512214343,1.3890364375E10
AAA,2012.01.26.,195.0,100.0,19500.0,66.31976328946027,1,195.0,195.0,195.0,HUF,195.0,1.3212785625E10
AAA,2012.01.27.,203.0,225.0,44275.0,150.4928619986404,2,196.0,196.0,203.0,HUF,196.77777777777777,1.3754848625E10
AAA,2012.01.30.,,,,,,,,,HUF,,1.3754848625E10
AAA,2012.01.31.,,,,,,,,,HUF,,1.3754848625E10
AAA,2012.02.01.,,,,,,,,,HUF,,1.3754848625E10
AAA,2012.02.02.,,,,,,,,,HUF,,1.3754848625E10
AAA,2012.02.03.,200.0,50.0,10000.0,34.33476394849785,1,200.0,200.0,200.0,HUF,200.0,1.3551575E10
AAA,2012.02.06.,210.0,6200.0,1286165.0,4389.491826217535,12,203.0,203.0,213.0,HUF,207.44596774193548,1.422915375E10
AAA,2012.02.07.,200.0,50.0,10025.0,34.36632271776765,2,201.0,200.0,201.0,HUF,200.5,1.3551575E10
AAA,2012.02.08.,,,,,,,,,HUF,,1.3551575E10
AAA,2012.02.09.,,,,,,,,,HUF,,1.3551575E10
AAA,2012.02.10.,210.0,2512.0,509239.0,1741.4047806312622,7,213.0,200.0,214.0,HUF,202.72253184713375,1.422915375E10
AAA,2012.02.13.,204.0,402.0,80408.0,276.1737935771939,2,200.0,200.0,204.0,HUF,200.01990049751242,1.38226065E10
AAA,2012.02.14.,203.0,2900.0,605913.0,2079.673931697271,4,210.0,203.0,210.0,HUF,208.9355172413793,1.3754848625E10
AAA,2012.02.15.,,,,,,,,,HUF,,1.3754848625E10
